File: main
Build ID: 987c2a02c47d9fbd7685eb9a0f711410b42ed45c
Type: cpu
Time: 2026-02-06 12:21:32 IST
Duration: 30s, Total samples = 880ms ( 2.93%)
Showing nodes accounting for 880ms, 100% of 880ms total
      flat  flat%   sum%        cum   cum%
         0     0%   100%      120ms 13.64%  database/sql.(*DB).retry
         0     0%   100%       10ms  1.14%  database/sql.(*Rows).Close
         0     0%   100%       20ms  2.27%  database/sql.(*Rows).Next
         0     0%   100%       10ms  1.14%  database/sql.(*Rows).Next.func1
         0     0%   100%       10ms  1.14%  database/sql.(*Rows).nextLocked
         0     0%   100%       30ms  3.41%  database/sql.ctxDriverExec
         0     0%   100%       80ms  9.09%  database/sql.ctxDriverQuery
         0     0%   100%      120ms 13.64%  database/sql.withLock
         0     0%   100%       10ms  1.14%  encoding/json.(*decodeState).literalStore
         0     0%   100%       10ms  1.14%  encoding/json.(*decodeState).object
         0     0%   100%       10ms  1.14%  encoding/json.(*decodeState).unmarshal
         0     0%   100%       10ms  1.14%  encoding/json.(*decodeState).value
         0     0%   100%       40ms  4.55%  encoding/json.(*encodeState).marshal
         0     0%   100%       40ms  4.55%  encoding/json.(*encodeState).reflectValue
         0     0%   100%       40ms  4.55%  encoding/json.Marshal
         0     0%   100%       60ms  6.82%  encoding/json.MarshalIndent
         0     0%   100%       10ms  1.14%  encoding/json.Unmarshal
         0     0%   100%       30ms  3.41%  encoding/json.arrayEncoder.encode
         0     0%   100%       10ms  1.14%  encoding/json.indirect
         0     0%   100%       10ms  1.14%  encoding/json.intEncoder
         0     0%   100%       40ms  4.55%  encoding/json.interfaceEncoder
         0     0%   100%       40ms  4.55%  encoding/json.mapEncoder.encode
         0     0%   100%       40ms  4.55%  encoding/json.ptrEncoder.encode
         0     0%   100%       30ms  3.41%  encoding/json.sliceEncoder.encode
         0     0%   100%       40ms  4.55%  encoding/json.structEncoder.encode
         0     0%   100%       10ms  1.14%  fmt.(*pp).doPrintf
         0     0%   100%       20ms  2.27%  fmt.Sprintf
         0     0%   100%       10ms  1.14%  github.com/gorilla/mux.(*Route).Match
         0     0%   100%       10ms  1.14%  github.com/gorilla/mux.(*Router).Match
         0     0%   100%      300ms 34.09%  github.com/gorilla/mux.(*Router).ServeHTTP
         0     0%   100%       10ms  1.14%  github.com/gorilla/mux.(*routeRegexp).Match
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.(*Scalar).ParseLiteral (inline)
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.(*Scalar).Serialize
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.(*ValidationContext).RecursiveVariableUsages
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.(*ValidationContext).VariableUsages
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.(*overlappingFieldsCanBeMergedRule).findConflictsWithinSelectionSet
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.ArgumentsOfCorrectTypeRule.func1
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql.DefaultResolveFn
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.DefaultResolveFn.func1
         0     0%   100%      200ms 22.73%  github.com/graphql-go/graphql.Do
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.Execute
         0     0%   100%      280ms 31.82%  github.com/graphql-go/graphql.Execute.func2
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.KnownArgumentNamesRule
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql.NewLocatedErrorWithPath (inline)
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.NoFragmentCyclesRule
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.NoUndefinedVariablesRule.func2
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.OverlappingFieldsCanBeMergedRule
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.OverlappingFieldsCanBeMergedRule.func1
         0     0%   100%      170ms 19.32%  github.com/graphql-go/graphql.ValidateDocument
         0     0%   100%      170ms 19.32%  github.com/graphql-go/graphql.VisitUsingRules
         0     0%   100%       60ms  6.82%  github.com/graphql-go/graphql.VisitUsingRules.VisitWithTypeInfo.func3
         0     0%   100%       40ms  4.55%  github.com/graphql-go/graphql.VisitUsingRules.VisitWithTypeInfo.func4
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.coerceString
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.completeLeafValue
         0     0%   100%       40ms  4.55%  github.com/graphql-go/graphql.completeObjectValue
         0     0%   100%       50ms  5.68%  github.com/graphql-go/graphql.completeValue
         0     0%   100%       50ms  5.68%  github.com/graphql-go/graphql.completeValueCatchingError
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.dethunkListBreadthFirst.func1
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.dethunkMapBreadthFirst
         0     0%   100%       10ms  1.14%  github.com/graphql-go/graphql.dethunkMapWithBreadthFirstTraversal
         0     0%   100%      120ms 13.64%  github.com/graphql-go/graphql.executeFields
         0     0%   100%      150ms 17.05%  github.com/graphql-go/graphql.executeFieldsSerially
         0     0%   100%      270ms 30.68%  github.com/graphql-go/graphql.executeOperation
         0     0%   100%      120ms 13.64%  github.com/graphql-go/graphql.executeSubFields
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql.handleFieldError
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.init.func2
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.isValidLiteralValue
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql.newLocatedError
         0     0%   100%       20ms  2.27%  github.com/graphql-go/graphql.orderedFields
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql.resolveField.func1
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql/gqlerrors.NewErrorWithPath (inline)
         0     0%   100%       30ms  3.41%  github.com/graphql-go/graphql/gqlerrors.newError
